gene_name,peptide_sequence,treatment_name,seconds,bio_rep,tech_rep,total_area
8c6a0000,429f805c,665e6428,0,1,1,NA
8c6a0000,429f805c,665e6428,0,1,2,0.013526589109609131
8c6a0000,429f805c,665e6428,0,1,3,0.007774747045017065
8c6a0000,429f805c,665e6428,0,1,4,NA
8c6a0000,429f805c,665e6428,0,2,1,NA
8c6a0000,429f805c,665e6428,0,2,2,0.011427791942059777
8c6a0000,429f805c,665e6428,0,2,3,0.01121343505122471
8c6a0000,429f805c,665e6428,0,2,4,NA
8c6a0000,429f805c,665e6428,0,3,1,NA
8c6a0000,429f805c,665e6428,0,3,2,0.01049406618581636
8c6a0000,429f805c,665e6428,0,3,3,0.009076871069314187
8c6a0000,429f805c,665e6428,0,3,4,NA
8c6a0000,429f805c,665e6428,150,1,1,NA
8c6a0000,429f805c,665e6428,150,1,2,0.011406205758130455
8c6a0000,429f805c,665e6428,150,1,3,0.009021416910994822
8c6a0000,429f805c,665e6428,150,1,4,NA
8c6a0000,429f805c,665e6428,150,2,1,NA
8c6a0000,429f805c,665e6428,150,2,2,0.012077176840647732
8c6a0000,429f805c,665e6428,150,2,3,0.01190715560070484
8c6a0000,429f805c,665e6428,150,2,4,NA
8c6a0000,429f805c,665e6428,150,3,1,NA
8c6a0000,429f805c,665e6428,150,3,2,0.011834202388683884
8c6a0000,429f805c,665e6428,150,3,3,0.010618964005495926
8c6a0000,429f805c,665e6428,150,3,4,NA
8c6a0000,429f805c,665e6428,300,1,1,NA
8c6a0000,429f805c,665e6428,300,1,2,0.01261577217630482
8c6a0000,429f805c,665e6428,300,1,3,0.010954197965113146
8c6a0000,429f805c,665e6428,300,1,4,NA
8c6a0000,429f805c,665e6428,300,2,1,NA
8c6a0000,429f805c,665e6428,300,2,2,0.013516406302374332
8c6a0000,429f805c,665e6428,300,2,3,0.012653223333392315
8c6a0000,429f805c,665e6428,300,2,4,NA
8c6a0000,429f805c,665e6428,300,3,1,NA
8c6a0000,429f805c,665e6428,300,3,2,0.01647087699714817
8c6a0000,429f805c,665e6428,300,3,3,0.0135483222859689
8c6a0000,429f805c,665e6428,300,3,4,NA
8c6a0000,429f805c,665e6428,600,1,1,NA
8c6a0000,429f805c,665e6428,600,1,2,0.010321251666673805
8c6a0000,429f805c,665e6428,600,1,3,0.007200897350873414
8c6a0000,429f805c,665e6428,600,1,4,NA
8c6a0000,429f805c,665e6428,600,2,1,NA
8c6a0000,429f805c,665e6428,600,2,2,0.01398246277651894
8c6a0000,429f805c,665e6428,600,2,3,0.015276893087043213
8c6a0000,429f805c,665e6428,600,2,4,NA
8c6a0000,429f805c,665e6428,600,3,1,NA
8c6a0000,429f805c,665e6428,600,3,2,0.01585040008138558
8c6a0000,429f805c,665e6428,600,3,3,0.01480115227841454
8c6a0000,429f805c,665e6428,600,3,4,NA
8c6a0000,429f805c,605734a3,0,1,1,NA
8c6a0000,429f805c,605734a3,0,1,2,0.01826150328511174
8c6a0000,429f805c,605734a3,0,1,3,0.01588606119679271
8c6a0000,429f805c,605734a3,0,1,4,NA
8c6a0000,429f805c,605734a3,0,2,1,NA
8c6a0000,429f805c,605734a3,0,2,2,0.01319992346826545
8c6a0000,429f805c,605734a3,0,2,3,0.013713133344618562
8c6a0000,429f805c,605734a3,0,2,4,NA
8c6a0000,429f805c,605734a3,0,3,1,NA
8c6a0000,429f805c,605734a3,0,3,2,0.012883861877280009
8c6a0000,429f805c,605734a3,0,3,3,0.012687371315695674
