peptide,gene_id,treatment,bio_rep,abundance
pw_001,gene_01,ctrl,1,63.92928663485915
pw_001,gene_01,ctrl,2,29.747502652333203
pw_001,gene_01,ctrl,3,48.63805204609367
pw_001,gene_01,ctrl,4,80.13300515937567
pw_001,gene_01,ctrl,5,36.66975493607865
pw_001,gene_01,ctrl,6,21.586035425401302
pw_001,gene_01,ctrl,7,30.104263800852525
pw_001,gene_01,ctrl,8,55.29743541823929
pw_001,gene_01,treatment,1,87.13350179743566
pw_001,gene_01,treatment,2,136.45529584416127
pw_001,gene_01,treatment,3,128.23307678898203
pw_001,gene_01,treatment,4,158.05803134313845
pw_001,gene_01,treatment,5,191.58259624945995
pw_001,gene_01,treatment,6,81.22612989100442
pw_001,gene_01,treatment,7,216.39488293529075
pw_001,gene_01,treatment,8,175.314908859947
pw_002,gene_01,ctrl,1,180.05796660497612
pw_002,gene_01,ctrl,2,135.3423811740285
pw_002,gene_01,ctrl,3,180.40355427300148
pw_002,gene_01,ctrl,4,41.223375011430136
pw_002,gene_01,ctrl,5,127.4908667262506
pw_002,gene_01,ctrl,6,59.62961658810874
pw_002,gene_01,ctrl,7,114.6865919013727
pw_002,gene_01,ctrl,8,151.19495568615795
pw_002,gene_01,treatment,1,260.1692856649741
pw_002,gene_01,treatment,2,387.8551481513264
pw_002,gene_01,treatment,3,321.48350276096426
pw_002,gene_01,treatment,4,189.06809443762907
pw_002,gene_01,treatment,5,520.3796629865071
pw_002,gene_01,treatment,6,305.81910925966497
pw_002,gene_01,treatment,7,382.933633154192
pw_002,gene_01,treatment,8,503.1470711531651
pw_003,gene_01,ctrl,1,47.360191110641686
pw_003,gene_01,ctrl,2,116.41304495621122
pw_003,gene_01,ctrl,3,13.567090870570114
pw_003,gene_01,ctrl,4,66.86765122717456
pw_003,gene_01,ctrl,5,29.150912618514315
pw_003,gene_01,ctrl,6,68.7197742237605
pw_003,gene_01,ctrl,7,45.243616986457525
pw_003,gene_01,ctrl,8,25.705096686681536
pw_003,gene_01,treatment,1,170.92561730523528
pw_003,gene_01,treatment,2,134.27377201892588
pw_003,gene_01,treatment,3,47.388348858632206
pw_003,gene_01,treatment,4,124.46588914369997
pw_003,gene_01,treatment,5,189.83472312702634
pw_003,gene_01,treatment,6,59.259997527543035
pw_003,gene_01,treatment,7,250.55607159736323
pw_003,gene_01,treatment,8,371.7808214270995
pw_004,gene_01,ctrl,1,112.06752543718633
pw_004,gene_01,ctrl,2,82.79255075853601
pw_004,gene_01,ctrl,3,140.24496872674987
pw_004,gene_01,ctrl,4,101.37354793775422
pw_004,gene_01,ctrl,5,121.03573949524028
pw_004,gene_01,ctrl,6,103.00332976502708
pw_004,gene_01,ctrl,7,106.85746423004889
pw_004,gene_01,ctrl,8,77.09307233305987
pw_004,gene_01,treatment,1,398.47874068871755
pw_004,gene_01,treatment,2,186.7395131734516
pw_004,gene_01,treatment,3,421.41739832559966
pw_004,gene_01,treatment,4,235.3296221443287
pw_004,gene_01,treatment,5,201.90313753131932
pw_004,gene_01,treatment,6,386.880162357576
pw_004,gene_01,treatment,7,200.73143272864763
pw_004,gene_01,treatment,8,333.10966218106165
pw_005,gene_01,ctrl,1,52.59891720611976
