peptide,gene_id,treatment,timepoint,bio_rep,abundance
pep_0001,gene_001,ctrl,0h,1,117.01933511819102
pep_0001,gene_001,ctrl,0h,2,53.153274131181725
pep_0001,gene_001,ctrl,0h,3,64.41732460415675
pep_0001,gene_001,ctrl,0h,4,199.81373862535906
pep_0001,gene_001,ctrl,0h,5,159.6284882398728
pep_0001,gene_001,ctrl,0h,6,109.26979970274228
pep_0001,gene_001,ctrl,24h,1,103.10696181012112
pep_0001,gene_001,ctrl,24h,2,107.7789394167913
pep_0001,gene_001,ctrl,24h,3,81.12773033292206
pep_0001,gene_001,ctrl,24h,4,114.96218380359245
pep_0001,gene_001,ctrl,24h,5,102.57431068781281
pep_0001,gene_001,ctrl,24h,6,111.28404097478254
pep_0001,gene_001,ctrl,6h,1,181.34129643107906
pep_0001,gene_001,ctrl,6h,2,56.66563457942854
pep_0001,gene_001,ctrl,6h,3,171.33067202988255
pep_0001,gene_001,ctrl,6h,4,90.54765235432731
pep_0001,gene_001,ctrl,6h,5,92.84459535323114
pep_0001,gene_001,ctrl,6h,6,137.21008478444486
pep_0001,gene_001,drug,0h,1,111.04767288134543
pep_0001,gene_001,drug,0h,2,133.82662691276812
pep_0001,gene_001,drug,0h,3,64.15561664270886
pep_0001,gene_001,drug,0h,4,64.74709940011583
pep_0001,gene_001,drug,0h,5,152.24339551075337
pep_0001,gene_001,drug,0h,6,111.11704261076159
pep_0001,gene_001,drug,24h,1,173.9527019604786
pep_0001,gene_001,drug,24h,2,308.21718929561877
pep_0001,gene_001,drug,24h,3,440.98055379460646
pep_0001,gene_001,drug,24h,4,337.8179984174997
pep_0001,gene_001,drug,24h,5,885.9175387760881
pep_0001,gene_001,drug,24h,6,579.3816874591641
pep_0001,gene_001,drug,6h,1,82.78159596075677
pep_0001,gene_001,drug,6h,2,65.17217319500367
pep_0001,gene_001,drug,6h,3,84.94905305163701
pep_0001,gene_001,drug,6h,4,109.04970993370974
pep_0001,gene_001,drug,6h,5,151.3262828140388
pep_0001,gene_001,drug,6h,6,81.80487029247173
pep_0002,gene_001,ctrl,0h,1,189.2244707634114
pep_0002,gene_001,ctrl,0h,2,53.50441038214583
pep_0002,gene_001,ctrl,0h,3,110.49215873920376
pep_0002,gene_001,ctrl,0h,4,55.50582982576854
pep_0002,gene_001,ctrl,0h,5,53.82717778956096
pep_0002,gene_001,ctrl,0h,6,64.24054382420381
pep_0002,gene_001,ctrl,24h,1,99.93746437909512
pep_0002,gene_001,ctrl,24h,2,45.187889976977914
pep_0002,gene_001,ctrl,24h,3,59.364758324054584
pep_0002,gene_001,ctrl,24h,4,98.382503331287
pep_0002,gene_001,ctrl,24h,5,65.05573847713198
pep_0002,gene_001,ctrl,24h,6,63.961193461296965
pep_0002,gene_001,ctrl,6h,1,53.983435689578705
pep_0002,gene_001,ctrl,6h,2,28.077469514942035
pep_0002,gene_001,ctrl,6h,3,51.04664269286605
pep_0002,gene_001,ctrl,6h,4,78.3829510603571
pep_0002,gene_001,ctrl,6h,5,106.8178319821616
pep_0002,gene_001,ctrl,6h,6,125.9633201761645
pep_0002,gene_001,drug,0h,1,62.25644899561601
pep_0002,gene_001,drug,0h,2,113.49135690610473
pep_0002,gene_001,drug,0h,3,74.43402305065858
pep_0002,gene_001,drug,0h,4,55.89600954294016
pep_0002,gene_001,drug,0h,5,81.24729551748634
pep_0002,gene_001,drug,0h,6,70.19008983617984
pep_0002,gene_001,drug,24h,1,321.2782338512834
pep_0002,gene_001,drug,24h,2,114.70827623106348
pep_0002,gene_001,drug,24h,3,333.15187398651
pep_0002,gene_001,drug,24h,4,271.24240898279436
pep_0002,gene_001,drug,24h,5,351.38850022458365
pep_0002,gene_001,drug,24h,6,264.32775967459196
pep_0002,gene_001,drug,6h,1,69.33415399549199
pep_0002,gene_001,drug,6h,2,62.852077701420924
pep_0002,gene_001,drug,6h,3,44.38402411929264
pep_0002,gene_001,drug,6h,4,80.25253794637939
pep_0002,gene_001,drug,6h,5,84.92186171409296
pep_0002,gene_001,drug,6h,6,75.90872321321416
pep_0003,gene_001,ctrl,0h,1,60.64519641383634
pep_0003,gene_001,ctrl,0h,2,44.88619014280541
